03-02 11:43:02.971 (I) Mapped "{[/tae/simp],methods=[POST]}" onto public eu.simpaticoproject.adaptation.text.tae.SimpaticoOutput eu.simpaticoproject.adaptation.text.controllers.TAEController.simp(eu.simpaticoproject.adaptation.text.tae.SimpaticoInput) throws java.lang.Exception  [restartedMain o.s.w.s.m.m.a.RequestMappingHandlerMapping]
03-02 11:43:02.971 (I) Mapped "{[/tae/simp],methods=[GET]}" onto public java.lang.String eu.simpaticoproject.adaptation.text.controllers.TAEController.simp(java.lang.String,java.lang.String,java.lang.Boolean) throws java.lang.Exception  [restartedMain o.s.w.s.m.m.a.RequestMappingHandlerMapping]
03-02 11:43:02.972 (I) Mapped "{[/wae/model/page],methods=[GET]}" onto public eu.simpaticoproject.adaptation.workflow.model.wf.PageModel eu.simpaticoproject.adaptation.workflow.controller.WAEController.getPageModel(java.lang.String,java.lang.String,javax.servlet.http.HttpServletRequest) throws java.lang.Exception  [restartedMain o.s.w.s.m.m.a.RequestMappingHandlerMapping]
03-02 11:43:02.973 (I) Mapped "{[/wae/model],methods=[GET]}" onto public java.util.List<eu.simpaticoproject.adaptation.workflow.model.WorkFlowModelStore> eu.simpaticoproject.adaptation.workflow.controller.WAEController.getModelStore(java.lang.String,javax.servlet.http.HttpServletRequest) throws java.lang.Exception  [restartedMain o.s.w.s.m.m.a.RequestMappingHandlerMapping]
03-02 11:43:02.973 (I) Mapped "{[/wae/model],methods=[POST]}" onto public eu.simpaticoproject.adaptation.workflow.model.WorkFlowModelStore eu.simpaticoproject.adaptation.workflow.controller.WAEController.addModelStore(eu.simpaticoproject.adaptation.workflow.model.WorkFlowModelStore,javax.servlet.http.HttpServletRequest) throws java.lang.Exception  [restartedMain o.s.w.s.m.m.a.RequestMappingHandlerMapping]
03-02 11:43:02.973 (I) Mapped "{[/wae/model/{objectId}],methods=[PUT]}" onto public eu.simpaticoproject.adaptation.workflow.model.WorkFlowModelStore eu.simpaticoproject.adaptation.workflow.controller.WAEController.saveModelStore(java.lang.String,eu.simpaticoproject.adaptation.workflow.model.WorkFlowModelStore,javax.servlet.http.HttpServletRequest) throws java.lang.Exception  [restartedMain o.s.w.s.m.m.a.RequestMappingHandlerMapping]
03-02 11:43:02.974 (I) Mapped "{[/wae/model/{objectId}],methods=[DELETE]}" onto public void eu.simpaticoproject.adaptation.workflow.controller.WAEController.deleteModelStore(java.lang.String,javax.servlet.http.HttpServletRequest) throws java.lang.Exception  [restartedMain o.s.w.s.m.m.a.RequestMappingHandlerMapping]
03-02 11:43:02.974 (I) Mapped "{[/apidocs],methods=[GET],produces=[application/json || application/hal+json]}" onto public org.springframework.http.ResponseEntity<springfox.documentation.spring.web.json.Json> springfox.documentation.swagger2.web.Swagger2Controller.getDocumentation(java.lang.String,javax.servlet.http.HttpServletRequest)  [restartedMain o.s.w.s.m.m.a.RequestMappingHandlerMapping]
03-02 11:43:02.976 (I) Mapped "{[/swagger-resources]}" onto org.springframework.http.ResponseEntity<java.util.List<springfox.documentation.swagger.web.SwaggerResource>> springfox.documentation.swagger.web.ApiResourceController.swaggerResources()  [restartedMain o.s.w.s.m.m.a.RequestMappingHandlerMapping]
03-02 11:43:02.976 (I) Mapped "{[/configuration/security]}" onto org.springframework.http.ResponseEntity<springfox.documentation.swagger.web.SecurityConfiguration> springfox.documentation.swagger.web.ApiResourceController.securityConfiguration()  [restartedMain o.s.w.s.m.m.a.RequestMappingHandlerMapping]
03-02 11:43:02.976 (I) Mapped "{[/configuration/ui]}" onto org.springframework.http.ResponseEntity<springfox.documentation.swagger.web.UiConfiguration> springfox.documentation.swagger.web.ApiResourceController.uiConfiguration()  [restartedMain o.s.w.s.m.m.a.RequestMappingHandlerMapping]
03-02 11:43:02.979 (I) Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)  [restartedMain o.s.w.s.m.m.a.RequestMappingHandlerMapping]
03-02 11:43:02.980 (I) Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)  [restartedMain o.s.w.s.m.m.a.RequestMappingHandlerMapping]
03-02 11:43:03.013 (I) Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@7074f72e: startup date [Fri Feb 03 11:43:01 CET 2017]; root of context hierarchy  [restartedMain o.s.w.s.m.m.a.RequestMappingHandlerAdapter]
03-02 11:43:03.021 (I) Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]  [restartedMain o.s.w.s.h.SimpleUrlHandlerMapping]
03-02 11:43:03.022 (I) Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]  [restartedMain o.s.w.s.h.SimpleUrlHandlerMapping]
03-02 11:43:03.035 (I) Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]  [restartedMain o.s.w.s.h.SimpleUrlHandlerMapping]
03-02 11:43:03.125 (I) LiveReload server is running on port 35729  [restartedMain o.s.b.d.a.OptionalLiveReloadServer]
03-02 11:43:03.180 (I) Registering beans for JMX exposure on startup  [restartedMain o.s.j.e.a.AnnotationMBeanExporter]
03-02 11:43:03.186 (I) Context refreshed  [restartedMain s.d.s.w.p.DocumentationPluginsBootstrapper]
03-02 11:43:03.187 (I) Found 1 custom documentation plugin(s)  [restartedMain s.d.s.w.p.DocumentationPluginsBootstrapper]
03-02 11:43:03.189 (I) Scanning for api listing references  [restartedMain s.d.s.w.s.ApiListingReferenceScanner]
03-02 11:43:03.355 (I) Tomcat started on port(s): 8080 (http)  [restartedMain o.s.b.c.e.t.TomcatEmbeddedServletContainer]
03-02 11:43:03.357 (I) Started SimpaticoApplication in 1.745 seconds (JVM running for 57527.43)  [restartedMain e.s.a.SimpaticoApplication]
